epoch,train_loss,val_loss,val_miou,lr,time_s,iou_cls0,iou_cls1,iou_cls2,iou_cls3,iou_cls4,iou_cls5,iou_cls6,iou_cls7,iou_cls8,iou_cls9
43,0.41483,0.37733,0.56217,8.36e-06,186.3,0.80299,0.66342,0.65883,0.4228,0.33143,0.58175,0.24303,0.36893,0.57269,0.97584
44,0.41781,0.37704,0.56436,7.41e-06,230.7,0.80321,0.66423,0.65799,0.41876,0.33053,0.58267,0.26636,0.37086,0.57313,0.97585
45,0.41251,0.37782,0.56621,6.51e-06,174.3,0.80107,0.66344,0.65894,0.42571,0.33229,0.58407,0.26998,0.37326,0.57769,0.97567
46,0.41178,0.37581,0.56439,5.66e-06,206.5,0.80285,0.6636,0.658,0.41922,0.33115,0.58295,0.26498,0.37128,0.57398,0.9759
47,0.41348,0.37592,0.56173,4.87e-06,267.5,0.80201,0.66366,0.65728,0.41802,0.33021,0.58096,0.24923,0.36813,0.57211,0.97571
48,0.41357,0.37686,0.5635,4.13e-06,259.2,0.80223,0.66353,0.65854,0.42084,0.33031,0.58381,0.26118,0.36799,0.5708,0.97576
49,0.40898,0.37643,0.565,3.44e-06,408.9,0.80168,0.66466,0.65925,0.42304,0.33204,0.58123,0.26584,0.37194,0.57468,0.97568
50,0.41642,0.37692,0.56363,2.82e-06,352.9,0.80206,0.66427,0.65955,0.42553,0.33194,0.58244,0.25316,0.36763,0.57398,0.97573
51,0.41149,0.37809,0.56265,2.26e-06,350.1,0.80304,0.66319,0.65642,0.41619,0.33086,0.58345,0.25998,0.36377,0.57374,0.97584
52,0.41414,0.37649,0.56404,1.76e-06,240.9,0.80317,0.66337,0.65833,0.42105,0.33201,0.58347,0.2578,0.36938,0.57581,0.97597
53,0.41534,0.37593,0.56471,1.32e-06,224.5,0.8021,0.66399,0.65875,0.4233,0.3318,0.58509,0.25685,0.37295,0.57655,0.97574
54,0.40921,0.37811,0.56517,9.5e-07,223.7,0.80332,0.66478,0.66053,0.4276,0.33164,0.58102,0.26314,0.37044,0.57328,0.97593
55,0.40936,0.37617,0.56387,6.5e-07,286.3,0.80233,0.66418,0.65827,0.42145,0.33237,0.58289,0.25488,0.37003,0.57641,0.97585
56,0.4154,0.3754,0.56223,4.1e-07,248.6,0.80136,0.66399,0.65802,0.41908,0.33197,0.58225,0.25098,0.36501,0.5741,0.9756
57,0.41284,0.3774,0.5621,2.4e-07,191.4,0.80246,0.66336,0.65911,0.42698,0.33159,0.58002,0.24063,0.36808,0.57292,0.97584
58,0.41431,0.37765,0.56369,1.3e-07,185.8,0.80297,0.66432,0.65873,0.42249,0.33116,0.58321,0.25564,0.36905,0.57342,0.97592
59,0.41574,0.37762,0.56302,1e-07,172.6,0.80175,0.66374,0.65934,0.42438,0.33163,0.58113,0.25007,0.36917,0.57329,0.97567
