epoch,train_loss,val_loss,val_miou,lr,time_s,iou_cls0,iou_cls1,iou_cls2,iou_cls3,iou_cls4,iou_cls5,iou_cls6,iou_cls7,iou_cls8,iou_cls9
0,0.44133,0.4299,0.54271,4.997e-05,163.5,0.79374,0.65877,0.65092,0.4021,0.3265,0.567,0.14492,0.34306,0.56515,0.97497
1,0.43392,0.41816,0.54834,4.986e-05,144.7,0.79745,0.65698,0.65365,0.40513,0.32786,0.57528,0.17397,0.35079,0.5669,0.97538
2,0.43615,0.41417,0.55079,4.969e-05,137.9,0.79859,0.65877,0.65409,0.40188,0.32845,0.57174,0.1913,0.35878,0.56888,0.97542
3,0.43288,0.40881,0.54987,4.945e-05,136.8,0.79831,0.65984,0.65353,0.40115,0.32873,0.57358,0.19134,0.34841,0.56855,0.97532
4,0.42755,0.40747,0.55221,4.915e-05,138.9,0.79778,0.66043,0.6556,0.41096,0.32917,0.57856,0.18755,0.3546,0.57205,0.97536
5,0.43137,0.40533,0.55222,4.878e-05,142.2,0.79762,0.65962,0.65663,0.41456,0.33014,0.57464,0.1902,0.35476,0.56865,0.9754
6,0.42894,0.4015,0.552,4.834e-05,144.1,0.80001,0.66064,0.65532,0.41215,0.33006,0.57479,0.18654,0.35276,0.57207,0.97563
7,0.42771,0.40301,0.55287,4.784e-05,139.2,0.79763,0.65966,0.65752,0.41877,0.33019,0.56995,0.19047,0.36035,0.56892,0.97522
8,0.42715,0.39583,0.55601,4.728e-05,138.2,0.79906,0.66135,0.65614,0.41684,0.33069,0.57991,0.21323,0.35289,0.57468,0.97529
9,0.43074,0.39735,0.5542,4.666e-05,138.0,0.80048,0.66104,0.6561,0.41279,0.32968,0.57332,0.20386,0.35829,0.57083,0.97559
10,0.42732,0.39646,0.55454,4.597e-05,442.1,0.79983,0.65983,0.65667,0.40739,0.32973,0.57443,0.20591,0.36785,0.56841,0.97537
11,0.42413,0.38794,0.5562,4.523e-05,220.8,0.79901,0.66129,0.65601,0.41272,0.32945,0.57928,0.21431,0.36316,0.57133,0.9754
12,0.42285,0.39157,0.55507,4.444e-05,30998.0,0.80147,0.66139,0.65596,0.41555,0.32908,0.57692,0.2066,0.35762,0.57036,0.97571
13,0.42637,0.39143,0.55414,4.359e-05,148.4,0.80064,0.66312,0.65602,0.41268,0.32854,0.57735,0.20185,0.3568,0.56885,0.97554
14,0.41328,0.38863,0.5591,4.269e-05,125.2,0.79997,0.66197,0.65795,0.41636,0.33079,0.57932,0.23171,0.3639,0.57344,0.97564
15,0.41948,0.3845,0.55983,4.174e-05,123.6,0.79963,0.66109,0.65754,0.41143,0.33104,0.57817,0.24243,0.36895,0.57262,0.97539
16,0.42192,0.38598,0.55798,4.075e-05,123.4,0.80269,0.66317,0.65782,0.42028,0.32955,0.57594,0.2271,0.35662,0.57071,0.97591
17,0.41989,0.38265,0.5595,3.972e-05,121.6,0.79925,0.66185,0.65661,0.41549,0.33163,0.58079,0.23083,0.36572,0.57749,0.97537
18,0.41887,0.38363,0.5589,3.864e-05,124.3,0.79997,0.66277,0.65793,0.41578,0.32985,0.58015,0.23609,0.36075,0.57037,0.97538
19,0.4162,0.38254,0.55943,3.752e-05,122.9,0.80311,0.66331,0.65784,0.4196,0.3297,0.57489,0.23522,0.36434,0.57029,0.97603
20,0.41912,0.38335,0.55913,3.638e-05,123.8,0.80217,0.66376,0.65773,0.41583,0.33031,0.57848,0.22834,0.36626,0.57268,0.97574
21,0.42254,0.38658,0.55787,3.52e-05,123.7,0.80097,0.66277,0.65906,0.42527,0.33011,0.57729,0.21513,0.36277,0.56974,0.97558
22,0.42029,0.37922,0.5594,3.399e-05,124.2,0.80103,0.66302,0.65671,0.41766,0.33036,0.58109,0.22822,0.36634,0.57394,0.97567
23,0.42367,0.38121,0.55905,3.276e-05,130.9,0.80068,0.66283,0.65839,0.42396,0.33112,0.57738,0.22547,0.36281,0.57242,0.97547
24,0.41932,0.37886,0.55945,3.151e-05,137.0,0.80042,0.66325,0.65806,0.41922,0.33066,0.57922,0.22973,0.36604,0.57242,0.97549
25,0.4161,0.37831,0.56243,3.024e-05,121.5,0.8008,0.66249,0.65744,0.41606,0.33009,0.58027,0.26492,0.3661,0.57061,0.97552
26,0.41663,0.38044,0.55865,2.895e-05,119.7,0.80309,0.66359,0.65752,0.41881,0.33,0.58206,0.2262,0.35923,0.57009,0.9759
27,0.41327,0.37894,0.56157,2.766e-05,120.0,0.79976,0.66178,0.65799,0.41917,0.33164,0.58428,0.24191,0.36888,0.57487,0.97544
28,0.41907,0.38111,0.56199,2.636e-05,119.0,0.80168,0.66297,0.65841,0.42576,0.33079,0.58216,0.242,0.36541,0.57499,0.97573
29,0.41561,0.38032,0.559,2.505e-05,119.5,0.80139,0.66326,0.65857,0.42364,0.33091,0.57867,0.22181,0.36394,0.57219,0.97562
30,0.41543,0.38035,0.56111,2.374e-05,131.8,0.80078,0.66398,0.65818,0.42255,0.33135,0.58112,0.23766,0.36501,0.57482,0.97563
31,0.41303,0.37817,0.56151,2.244e-05,121.9,0.8022,0.66388,0.6574,0.42264,0.33017,0.58236,0.24327,0.36272,0.57455,0.97593
32,0.41737,0.37815,0.56249,2.115e-05,121.3,0.80155,0.664,0.65853,0.42058,0.33121,0.58332,0.24587,0.36884,0.57533,0.97568
33,0.41555,0.37944,0.56062,1.986e-05,118.6,0.80255,0.66297,0.6578,0.42111,0.33051,0.581,0.23611,0.36589,0.57249,0.97582
34,0.41536,0.37838,0.56236,1.859e-05,116.5,0.80094,0.66282,0.6579,0.4249,0.33255,0.5833,0.24557,0.36304,0.577,0.97557
35,0.41579,0.3791,0.56128,1.734e-05,116.8,0.80218,0.66396,0.65784,0.41974,0.33094,0.58327,0.23398,0.37088,0.57427,0.97572
36,0.41393,0.37917,0.56057,1.611e-05,155.1,0.80217,0.66197,0.65708,0.41878,0.33144,0.58227,0.24309,0.36116,0.57197,0.97578
37,0.41139,0.37781,0.56479,1.49e-05,120.8,0.80267,0.66326,0.65839,0.42167,0.3326,0.58209,0.26513,0.36904,0.5772,0.97581
38,0.41633,0.37835,0.56583,1.372e-05,164.5,0.80202,0.66326,0.65913,0.42402,0.33247,0.58409,0.26622,0.37397,0.5773,0.9758
39,0.41449,0.37935,0.56363,1.257e-05,228.5,0.80294,0.66438,0.65923,0.42423,0.33013,0.58399,0.25588,0.36776,0.57183,0.97591
40,0.41264,0.37693,0.5622,1.146e-05,187.6,0.80161,0.66412,0.65841,0.41955,0.33184,0.5806,0.24724,0.36812,0.57477,0.9757
41,0.41346,0.37594,0.56189,1.038e-05,348.2,0.80146,0.66335,0.65752,0.41809,0.3309,0.58437,0.24728,0.36674,0.57347,0.97573
42,0.41836,0.37882,0.56255,9.35e-06,187.9,0.80203,0.66339,0.65895,0.4272,0.33174,0.58049,0.24123,0.36958,0.57503,0.9758
