epoch,train_loss,val_loss,train_miou,val_miou,lr,time_s,iou_cls0,iou_cls1,iou_cls2,iou_cls3,iou_cls4,iou_cls5,iou_cls6,iou_cls7,iou_cls8,iou_cls9
38,0.54027,0.51153,0.47782,0.49179,0.001,188.0,0.7616,0.60606,0.6058,0.29718,0.2916,0.51913,0.13884,0.23408,0.49375,0.96986
39,0.525,0.48942,0.48135,0.49736,0.001,178.1,0.74051,0.61142,0.60916,0.295,0.29918,0.50797,0.20113,0.2526,0.49082,0.96578
40,0.5101,0.50813,0.48933,0.49239,0.0005,172.4,0.75909,0.59906,0.59545,0.30495,0.29884,0.48388,0.21341,0.20982,0.48854,0.97088
41,0.49995,0.48201,0.49306,0.50158,0.0005,175.5,0.76002,0.62588,0.62232,0.33176,0.29651,0.50432,0.16976,0.25717,0.4784,0.96971
42,0.49528,0.48661,0.49584,0.50162,0.0005,186.9,0.7634,0.62303,0.62501,0.31843,0.30924,0.51602,0.14337,0.26283,0.49353,0.96138
43,0.49401,0.46979,0.49559,0.50885,0.0005,184.8,0.76355,0.62847,0.62445,0.3108,0.30871,0.50832,0.19337,0.27215,0.5097,0.96894
44,0.49009,0.47321,0.49774,0.50461,0.0005,182.9,0.7639,0.63292,0.62724,0.32436,0.3025,0.51297,0.14236,0.26645,0.50377,0.9696
45,0.48721,0.47338,0.49746,0.5117,0.0005,272.4,0.77058,0.63103,0.62948,0.32728,0.3103,0.50042,0.18156,0.28308,0.51264,0.97065
46,0.48831,0.47113,0.49718,0.50712,0.0005,856.9,0.76668,0.62855,0.6236,0.31419,0.30514,0.5107,0.19343,0.25835,0.50013,0.97039
47,0.49165,0.46757,0.49658,0.50509,0.0005,702.5,0.76457,0.6308,0.61358,0.32471,0.30081,0.52198,0.19661,0.23046,0.49757,0.96983
48,0.4847,0.46673,0.49837,0.50287,0.0005,493.6,0.76111,0.63168,0.62435,0.31984,0.29314,0.50059,0.19351,0.26498,0.46992,0.96963
46,0.48691,0.46732,0.49717,0.50161,0.0005,435.1,0.75285,0.62779,0.61481,0.32312,0.30491,0.51638,0.16945,0.24088,0.49747,0.96843
47,0.49007,0.47025,0.49823,0.50141,0.0005,495.5,0.75247,0.6217,0.62157,0.33062,0.30157,0.51249,0.15323,0.25987,0.4929,0.96763
48,0.47891,0.4625,0.50236,0.50272,0.0005,291.3,0.76567,0.62869,0.61801,0.31655,0.29722,0.51438,0.18925,0.24424,0.48333,0.96985
49,0.48672,0.47954,0.49761,0.5138,0.0005,153.6,0.76576,0.62508,0.62794,0.3349,0.31039,0.50975,0.20882,0.27804,0.50696,0.97033
50,0.48472,0.46894,0.49888,0.51414,0.0005,173.2,0.77235,0.63844,0.63385,0.3327,0.30625,0.51659,0.18801,0.28584,0.49572,0.97163
51,0.48318,0.46812,0.49975,0.51465,0.0005,143.1,0.77091,0.63674,0.63745,0.34673,0.30564,0.51289,0.18371,0.28848,0.49327,0.97064
52,0.47968,0.46379,0.50193,0.51111,0.0005,156.4,0.77141,0.63047,0.62476,0.3278,0.31212,0.51086,0.19106,0.26175,0.50977,0.97113
53,0.47536,0.45755,0.50337,0.51278,0.0005,165.9,0.76838,0.63563,0.62782,0.33134,0.31041,0.53567,0.15711,0.27091,0.51974,0.97078
54,0.47797,0.46003,0.50158,0.5054,0.0005,171.9,0.75672,0.62962,0.62712,0.33887,0.30829,0.50753,0.15483,0.26008,0.50179,0.96921
55,0.47177,0.46406,0.50386,0.50339,0.0005,179.6,0.76261,0.62468,0.6134,0.32245,0.31225,0.52366,0.13946,0.24794,0.51852,0.96894
56,0.47531,0.46552,0.50267,0.51165,0.0005,144.3,0.76607,0.63627,0.62383,0.33537,0.30932,0.51193,0.16559,0.27838,0.51979,0.96999
57,0.4704,0.45589,0.50442,0.50596,0.00025,133.7,0.76119,0.63653,0.61902,0.32274,0.30044,0.50722,0.1873,0.26011,0.49564,0.96943
58,0.45848,0.44739,0.50993,0.51319,0.00025,77.1,0.7652,0.63659,0.62831,0.33579,0.30845,0.53103,0.17775,0.27167,0.50758,0.9695
59,0.45932,0.4476,0.50909,0.51222,0.00025,100.4,0.76833,0.63804,0.61853,0.33054,0.30224,0.52961,0.20361,0.25563,0.50569,0.97001
60,0.45883,0.44752,0.50894,0.51808,0.00025,62.9,0.76868,0.6367,0.62908,0.3374,0.3076,0.51976,0.2177,0.28392,0.51007,0.96993
61,0.45909,0.44524,0.50935,0.51928,0.00025,71.7,0.76776,0.64138,0.63059,0.33044,0.31265,0.53417,0.21763,0.27723,0.511,0.96994
62,0.46113,0.44631,0.50796,0.51541,0.00025,203.4,0.76836,0.63536,0.62757,0.33142,0.30781,0.53377,0.18451,0.28283,0.51264,0.96987
63,0.4593,0.44894,0.50872,0.51806,0.00025,141.1,0.76799,0.63616,0.63159,0.34074,0.31186,0.53067,0.19446,0.28216,0.51505,0.96991
64,0.45231,0.44473,0.51184,0.52005,0.00025,167.7,0.77146,0.64125,0.63367,0.3431,0.30938,0.53845,0.1922,0.28779,0.51248,0.97069
65,0.45633,0.44293,0.51028,0.52012,0.00025,177.9,0.76801,0.63993,0.6288,0.34618,0.30884,0.53926,0.20885,0.27531,0.51576,0.97022
66,0.45887,0.44465,0.50939,0.52005,0.00025,161.1,0.76768,0.64045,0.63212,0.34195,0.30854,0.53113,0.21728,0.28259,0.50904,0.96973
67,0.45229,0.44592,0.51219,0.5234,0.00025,60.2,0.7674,0.64043,0.63064,0.33899,0.31446,0.53018,0.21627,0.29526,0.53018,0.9702
